ID,Type_Contrat,Role_Titre,Entreprise_Ou_Client,Secteur,Date_Debut,Date_Fin,Situation_Initiale,Actions_Et_Transformations,Resultats_Impact,Competences_Cles,Outils_Techno
EXP-001,Mandat Social,"Président - Cofondateur","Fermes Solaires du Mont-Valérien","Energies renouvelables / Transition énergétique",2019-04,2023-12,"Territoire urbain sans production locale d’énergie renouvelable structurée ni projet citoyen d’autoconsommation collective.","1. Cofondation d’une coopérative citoyenne et mobilisation de plusieurs dizaines de sociétaires.
2. Montage des dossiers techniques, juridiques et financiers pour des centrales photovoltaïques en toiture.
3. Animation de la gouvernance participative avec les collectivités locales et les habitants.","Création et déploiement de centrales solaires citoyennes et lancement du premier groupe d’autoconsommation collective en Île-de-France.","Pilotage de coopérative, gestion de projet territorial, transition énergétique, gouvernance participative","Suite Office, Excel, outils de simulation énergétique, outils collaboratifs en ligne"
EXP-002,CDI,"Directeur Régional","Groupe SNEF","Energie / Bâtiment / Industrie",2006-09,2018-03,"Région Ile-de-France organisée en plusieurs agences aux performances hétérogènes, dans un contexte de transformation numérique et d’exigences clients croissantes.","1. Restructuration des 8 agences et alignement sur les standards du groupe (numérisation, politique RSE, suivi qualité).
2. Mise en place d’indicateurs de performance et d’un pilotage P&L rigoureux.
3. Développement des activités Courants forts & faibles, CVC et maintenance dans les secteurs tertiaire et industriel.","Retour à la profitabilité de chaque agence en moins de 2 ans, chiffre d’affaires porté à ~100 M€ et management de plus de 500 collaborateurs.","Direction de centre de profit, management d’équipes pluridisciplinaires, transformation des organisations, pilotage P&L","ERP interne, Excel, outils de reporting et de gestion de projet"
EXP-003,CDI,"Directeur des ventes","Holden Telecommunications","Télécommunications / VoIP",2004-01,2006-08,"Start-up VoIP en forte croissance nécessitant de structurer la fonction commerciale et le développement du portefeuille clients entreprises.","1. Définition et mise en œuvre de la stratégie commerciale pour les offres IP-PBX, centres d’appels et solutions WLAN.
2. Structuration de l’équipe de vente et des processus (pipeline, prévisions, account management).
3. Contribution au positionnement des produits en lien avec les équipes techniques et marketing.","Développement significatif de la base clients sur la Costa del Sol et forte contribution à la croissance du chiffre d’affaires de la start-up.","Direction commerciale, stratégie de développement, vente de solutions technologiques, gestion de comptes clés","CRM, outils de reporting commercial, Suite Office"
EXP-004,CDI,"Senior Account Manager","Nortel Networks - Vodafone Account","Télécommunications / GSM & 3G",1999-10,2002-03,"Construction du 4ème réseau GSM allemand et forte concurrence entre équipementiers télécoms sur des contrats de plusieurs centaines de millions de dollars.","1. Développement d’un compte stratégique avec Vodafone en Allemagne et en Europe.
2. Positionnement de solutions backbone IP, QoS, plateformes de services, 3G et solutions large bande sur des short-lists européennes.
3. Négociation de contrats complexes en coordination avec les équipes techniques, financières et juridiques.","Signature d’une première commande majeure d’environ 300 M$ et contribution significative au chiffre d’affaires du compte Vodafone.","Account management grands comptes, négociation de contrats complexes, business development, stratégie commerciale","Outils de bid management, suites bureautiques, solutions internes de CRM"
EXP-005,CDI,"Pre-Sales NSS Manager & BSS Operations Manager","Nortel Networks","Télécommunications / GSM",1995-01,1999-10,"Déploiement de réseaux GSM dans de nombreux pays et nécessité de structurer l’ingénierie d’offres ainsi que les opérations de déploiement BSS.","1. Pilotage de l’équipe de support technique GSM pour le chiffrage et la définition des solutions.
2. Mise en place de la première stratégie mondiale de déploiement et d’upgrade BSS de Nortel.
3. Management d’une équipe internationale dédiée à l’installation et à la mise en service de réseaux GSM.","Gain de plusieurs des plus gros contrats GSM de l’entreprise et respect des engagements de délais et de qualité sur les déploiements internationaux.","Ingénierie d’offres, gestion de projets internationaux, management d’équipe technique, télécommunications mobiles","Outils d’ingénierie radio, outils de gestion de projet, Suite Office"
EXP-006,CDI,"Independent Networks Manager",ARCEP,"Régulation des télécoms",1994-03,1995-01,"Ouverture à la concurrence du marché français des télécommunications et besoin d’attribuer des licences pour des réseaux indépendants.","1. Instruction des dossiers et délivrance de licences d’exploitation de réseaux indépendants filaires et radio.
2. Rédaction de recommandations et de décisions publiées au Journal Officiel.
3. Coordination avec les services juridiques et le ministère de tutelle.","Contribution à la mise en œuvre opérationnelle de la dérégulation du marché des télécoms en France via un cadre de licences clair et structuré.","Régulation, analyse de dossiers, droit des télécoms, relations institutionnelles","Outils bureautiques, bases documentaires réglementaires"
EXP-007,CDI,"Installation / Worldwide I&C Manager","Sagem (Groupe Safran)","Télécommunications / Projets internationaux",1987-10,1992-03,"Projets de la Banque Mondiale dans des pays en développement ou en reconstruction nécessitant le déploiement de systèmes de télécommunications fiables.","1. Développement logiciel temps réel pour des commutateurs de télécommunications.
2. Organisation et supervision de l’installation et de la mise en service sur site en Afrique et en Asie.
3. Coordination avec les autorités locales et les bailleurs internationaux.","Mise en service de réseaux de télécommunications nationaux dans plusieurs pays africains et asiatiques, contribuant à leur reconstruction et à leur ouverture au reste du monde.","Gestion de projets internationaux, télécommunications, travail en environnement multiculturel, terrain","Outils de développement logiciel, équipements de test télécom, Suite Office"
EXP-008,Entrepreneuriat,"Franchise Owner / Gérant","Mauna GmbH – Franchise Quiksilver Europe","Retail / Sport",2002-03,2004-09,"Création ex-nihilo d’une franchise dans un des plus grands centres commerciaux européens (CentrO, Oberhausen).","1. Création de la société, négociation du bail et des conditions de franchise.
2. Recrutement et management d’une équipe d’environ 10 personnes.
3. Pilotage de l’activité commerciale et de la relation avec le franchiseur.","Atteinte d’un chiffre d’affaires d’environ 800 k€ et revente ultérieure de l’activité à un multi-franchisé suisse tout en conservant un modèle rentable.","Entrepreneuriat, gestion de point de vente, management d’équipe, négociation commerciale","Logiciel de caisse, outils de gestion commerciale, Excel"
EXP-009,Bénévolat,Président,"Écoquartier Liberté Mont-Valérien","Association / Transition écologique locale",2018-03,2020-06,"Quartier résidentiel sans structure dédiée à la transition écologique et au lien social autour des enjeux climat-énergie.","1. Création et structuration d’une association de quartier orientée transition écologique.
2. Organisation d’événements, d’ateliers et de concertations avec les habitants et la mairie.
3. Promotion de projets locaux en lien avec l’énergie, la mobilité douce et le vivre-ensemble.","Dynamisation de la vie de quartier et mise en place de premières actions concrètes en faveur de la transition écologique locale.","Animation de communauté, gestion associative, sensibilisation à la transition écologique, coordination locale","Outils collaboratifs, réseaux sociaux, Suite Office"
EXP-010,Bénévolat,"Animateur Fresque du Climat","La Fresque du Climat","Sensibilisation / Climat",2020-03,,"Organisations et citoyens peu outillés pour comprendre de façon systémique les enjeux du dérèglement climatique.","1. Animation d’ateliers collaboratifs basés sur les travaux du GIEC.
2. Adaptation de la pédagogie en fonction des publics (entreprises, associations, collectifs citoyens).
3. Contribution à la diffusion de la Fresque du Climat au sein de différents réseaux.","Sensibilisation de nombreux participants aux mécanismes du changement climatique et aux leviers d’action possibles.","Pédagogie, vulgarisation scientifique, animation d’ateliers, facilitation","Supports pédagogiques Fresque du Climat, outils collaboratifs (Miro, visioconférence), Suite Office"
